Date,Open,High,Low,Close,Adj Close,Volume
03-08-2023,326,329.880005,325.950012,326.660004,324.124512,18253700
04-08-2023,331.880005,335.140015,327.23999,327.779999,325.235779,23727700
07-08-2023,328.369995,331.109985,327.519989,330.109985,327.547699,17741500
08-08-2023,326.959991,328.75,323,326.049988,323.519196,22327600
09-08-2023,326.470001,327.109985,321.049988,322.230011,319.728882,22373300
10-08-2023,326.019989,328.26001,321.179993,322.929993,320.423431,20113700
11-08-2023,320.26001,322.410004,319.209991,321.01001,318.518341,24342600
14-08-2023,321.390015,324.059998,320.079987,324.040009,321.524841,18836100
15-08-2023,323,325.089996,320.899994,321.859985,319.361755,16966300
16-08-2023,320.799988,324.420013,319.799988,320.399994,318.586151,20698900
17-08-2023,320.540009,321.869995,316.209991,316.880005,315.086121,21257200
18-08-2023,314.48999,318.380005,311.549988,316.480011,314.688354,24744800
21-08-2023,317.929993,322.769989,317.040009,321.880005,320.0578,24040000
22-08-2023,325.5,326.079987,321.459991,322.459991,320.634491,16102000
23-08-2023,323.820007,329.200012,323.459991,327,325.148804,21166400
24-08-2023,332.850006,332.980011,319.959991,319.970001,318.1586,23281400
25-08-2023,321.470001,325.359985,318.799988,322.980011,321.15155,21684100
28-08-2023,325.660004,326.149994,321.720001,323.700012,321.867493,14808500
29-08-2023,321.880005,328.980011,321.880005,328.410004,326.550812,19284600
30-08-2023,328.670013,329.809998,326.450012,328.790009,326.92865,15222100
31-08-2023,329.200012,330.910004,326.779999,327.76001,325.90451,26411000
01-09-2023,331.309998,331.98999,326.779999,328.660004,326.799408,14931200
05-09-2023,329,334.850006,328.660004,333.549988,331.661713,18553900
06-09-2023,333.380005,334.459991,330.179993,332.880005,330.995544,17535800
07-09-2023,331.290009,333.079987,329.029999,329.910004,328.042328,18381000
08-09-2023,330.089996,336.160004,329.459991,334.269989,332.377625,19530100
11-09-2023,337.23999,338.420013,335.429993,337.940002,336.026855,16583300
12-09-2023,335.820007,336.790009,331.480011,331.769989,329.891785,17565500
13-09-2023,331.309998,336.850006,331.170013,336.059998,334.157501,16544400
14-09-2023,339.149994,340.859985,336.570007,338.700012,336.782562,20267000
15-09-2023,336.920013,337.399994,329.649994,330.220001,328.350586,37666900
18-09-2023,327.799988,330.399994,326.359985,329.059998,327.197144,16834200
19-09-2023,326.170013,329.390015,324.51001,328.649994,326.789459,16505900
20-09-2023,329.51001,329.589996,320.51001,320.769989,318.954071,21436500
21-09-2023,319.26001,325.350006,315,319.529999,317.721069,35529500
22-09-2023,321.320007,321.450012,316.149994,317.01001,315.215363,21447900
25-09-2023,316.589996,317.670013,315,317.540009,315.742371,17836000
26-09-2023,315.130005,315.880005,310.019989,312.140015,310.372955,26297600
27-09-2023,312.299988,314.299988,309.690002,312.790009,311.019257,19410100
28-09-2023,310.98999,315.480011,309.450012,313.640015,311.864441,19683600
29-09-2023,317.75,319.470001,314.980011,315.75,313.962463,24140300
02-10-2023,316.279999,321.890015,315.179993,321.799988,319.978241,20570000
03-10-2023,320.829987,321.390015,311.209991,313.390015,311.615875,21033500
04-10-2023,314.029999,320.040009,314,318.959991,317.154327,20720100
05-10-2023,319.089996,319.980011,314.899994,319.359985,317.552032,16965600
06-10-2023,316.549988,329.190002,316.299988,327.26001,325.407349,25645500
09-10-2023,324.75,330.299988,323.179993,329.820007,327.95282,19891200
10-10-2023,330.959991,331.100006,327.670013,328.390015,326.530945,20557100
11-10-2023,331.209991,332.820007,329.140015,332.420013,330.538147,20063200
12-10-2023,330.570007,333.630005,328.720001,331.160004,329.285248,19313100
13-10-2023,332.380005,333.829987,326.359985,327.730011,325.874695,21072400
16-10-2023,331.049988,336.140015,330.600006,332.640015,330.756866,22158000
17-10-2023,329.589996,333.459991,327.410004,332.059998,330.180145,18338500
18-10-2023,332.48999,335.589996,328.299988,330.109985,328.24118,23153600
